Tanggal;Pembukaan
11/10/2024;7025
10/10/2024;6925
09/10/2024;7075
08/10/2024;6825
07/10/2024;6925
04/10/2024;7025
03/10/2024;7000
02/10/2024;7025
01/10/2024;7000
30/09/2024;7000
27/09/2024;7025
26/09/2024;7175
25/09/2024;7350
24/09/2024;7400
23/09/2024;7325
20/09/2024;7400
19/09/2024;7450
18/09/2024;7375
17/09/2024;7325
13/09/2024;7300
12/09/2024;7375
11/09/2024;7300
10/09/2024;7250
09/09/2024;7250
06/09/2024;7175
05/09/2024;7125
04/09/2024;7000
03/09/2024;7200
02/09/2024;7200
30/08/2024;7100
29/08/2024;7300
28/08/2024;7025
27/08/2024;7025
26/08/2024;7050
23/08/2024;7000
22/08/2024;7150
21/08/2024;7300
20/08/2024;7200
19/08/2024;7075
16/08/2024;7075
15/08/2024;7075
14/08/2024;7075
13/08/2024;6850
12/08/2024;6875
09/08/2024;6825
08/08/2024;6800
07/08/2024;6725
06/08/2024;6650
05/08/2024;6700
02/08/2024;6700
01/08/2024;6550
31/07/2024;6400
30/07/2024;6475
29/07/2024;6550
26/07/2024;6575
25/07/2024;6450
24/07/2024;6500
23/07/2024;6750
22/07/2024;6575
19/07/2024;6500
18/07/2024;6550
17/07/2024;6450
16/07/2024;6400
15/07/2024;6450
12/07/2024;6450
11/07/2024;6400
10/07/2024;6375
09/07/2024;6225
08/07/2024;6400
05/07/2024;6325
04/07/2024;6250
03/07/2024;6275
02/07/2024;6275
01/07/2024;6175
28/06/2024;6000
27/06/2024;5900
26/06/2024;5950
25/06/2024;5925
24/06/2024;6075
21/06/2024;6050
20/06/2024;5825
19/06/2024;5775
14/06/2024;5850
13/06/2024;5975
12/06/2024;6050
11/06/2024;6200
10/06/2024;6275
07/06/2024;6250
06/06/2024;6125
05/06/2024;6125
04/06/2024;6150
03/06/2024;6075
31/05/2024;6000
30/05/2024;5775
29/05/2024;5825
28/05/2024;5850
27/05/2024;6025
22/05/2024;6000
21/05/2024;6225
20/05/2024;6550
17/05/2024;6350
16/05/2024;6450
15/05/2024;6200
14/05/2024;6175
13/05/2024;6200
08/05/2024;6325
07/05/2024;6325
06/05/2024;6250
03/05/2024;6300
02/05/2024;6800
30/04/2024;6800
29/04/2024;6650
26/04/2024;7000
25/04/2024;7050
24/04/2024;6925
23/04/2024;6850
22/04/2024;6875
19/04/2024;6725
18/04/2024;6800
17/04/2024;6700
16/04/2024;6350
05/04/2024;6825
04/04/2024;6750
03/04/2024;6950
02/04/2024;6900
01/04/2024;7250
28/03/2024;7150
27/03/2024;7200
26/03/2024;7125
25/03/2024;7050
22/03/2024;7000
21/03/2024;7100
20/03/2024;7050
19/03/2024;7250
18/03/2024;7425
15/03/2024;7450
14/03/2024;7250
13/03/2024;7250
08/03/2024;7150
07/03/2024;7075
06/03/2024;7000
05/03/2024;7075
04/03/2024;7000
01/03/2024;7050
29/02/2024;7125
28/02/2024;7025
27/02/2024;6975
26/02/2024;6950
23/02/2024;7050
22/02/2024;7175
21/02/2024;7125
